切割后的数据集大小,姿势识别后的数据集大小,姿势识别率,姿势识别时间,人脸匹配时间
14514623,46.50985240936279
200 (47)_3.jpg,gaohan
200 (1)_2.jpg,gaohan
200 (3)_0.jpg,gaohan
200 (34)_0.jpg,gaohan
200 (181)_2.jpg,gaohan
200 (79)_2.jpg,gaohan
200 (19)_1.jpg,gaohan
200 (108)_2.jpg,gaohan
200 (174)_1.jpg,gaohan
200 (12)_0.jpg,gaohan
200 (161)_3.jpg,unknown
200 (36)_0.jpg,gaohan
200 (56)_0.jpg,gaohan
200 (125)_0.jpg,gaohan
200 (67)_0.jpg,gaohan
200 (161)_2.jpg,gaohan
200 (49)_1.jpg,gaohan
200 (57)_2.jpg,gaohan
200 (80)_1.jpg,gaohan
200 (127)_1.jpg,gaohan
200 (51)_2.jpg,gaohan
200 (167)_1.jpg,gaohan
200 (99)_0.jpg,gaohan
200 (192)_1.jpg,gaohan
200 (73)_0.jpg,gaohan
200 (58)_0.jpg,gaohan
200 (48)_3.jpg,gaohan
200 (58)_1.jpg,gaohan
200 (168)_2.jpg,gaohan
200 (127)_0.jpg,gaohan
200 (180)_1.jpg,gaohan
200 (74)_1.jpg,gaohan
200 (165)_1.jpg,gaohan
200 (109)_3.jpg,gaohan
200 (90)_4.jpg,gaohan
200 (92)_1.jpg,gaohan
200 (68)_0.jpg,gaohan
200 (95)_0.jpg,gaohan
200 (101)_0.jpg,gaohan
200 (39)_1.jpg,gaohan
200 (90)_3.jpg,gaohan
200 (77)_1.jpg,gaohan
200 (79)_1.jpg,gaohan
200 (138)_3.jpg,gaohan
200 (93)_2.jpg,gaohan
200 (108)_1.jpg,gaohan
200 (75)_1.jpg,gaohan
200 (46)_3.jpg,gaohan
200 (186)_4.jpg,gaohan
200 (34)_2.jpg,gaohan
200 (160)_3.jpg,unknown
200 (109)_2.jpg,gaohan
200 (80)_2.jpg,gaohan
200 (69)_1.jpg,gaohan
200 (98)_0.jpg,gaohan
200 (71)_1.jpg,gaohan
200 (175)_2.jpg,gaohan
200 (172)_2.jpg,unknown
200 (179)_2.jpg,gaohan
200 (55)_3.jpg,gaohan
200 (187)_0.jpg,gaohan
200 (44)_1.jpg,gaohan
200 (6)_3.jpg,gaohan
200 (93)_3.jpg,unknown
200 (189)_1.jpg,gaohan
200 (56)_1.jpg,gaohan
200 (168)_3.jpg,gaohan
200 (157)_2.jpg,gaohan
200 (15)_1.jpg,gaohan
200 (193)_1.jpg,unknown
200 (189)_0.jpg,gaohan
200 (186)_3.jpg,gaohan
200 (15)_0.jpg,gaohan
200 (81)_2.jpg,gaohan
200 (171)_1.jpg,gaohan
200 (186)_0.jpg,gaohan
200 (53)_0.jpg,gaohan
200 (164)_0.jpg,gaohan
200 (141)_2.jpg,unknown
200 (104)_1.jpg,gaohan
200 (111)_1.jpg,gaohan
200 (172)_0.jpg,gaohan
200 (138)_4.jpg,gaohan
200 (50)_3.jpg,gaohan
200 (178)_0.jpg,gaohan
200 (110)_2.jpg,gaohan
200 (177)_0.jpg,gaohan
200 (90)_6.jpg,gaohan
200 (187)_2.jpg,gaohan
200 (56)_3.jpg,gaohan
200 (188)_0.jpg,gaohan
200 (178)_1.jpg,gaohan
200 (153)_1.jpg,gaohan
200 (136)_4.jpg,gaohan
200 (73)_1.jpg,gaohan
200 (11)_1.jpg,gaohan
200 (71)_0.jpg,gaohan
200 (174)_0.jpg,gaohan
200 (108)_0.jpg,gaohan
200 (184)_1.jpg,gaohan
200 (162)_2.jpg,gaohan
200 (156)_1.jpg,gaohan
200 (40)_0.jpg,unknown
200 (35)_1.jpg,unknown
200 (89)_1.jpg,gaohan
200 (41)_1.jpg,gaohan
200 (144)_4.jpg,gaohan
200 (47)_2.jpg,gaohan
200 (42)_1.jpg,gaohan
200 (37)_0.jpg,gaohan
200 (125)_1.jpg,gaohan
200 (55)_1.jpg,gaohan
200 (184)_2.jpg,gaohan
200 (188)_2.jpg,gaohan
200 (140)_1.jpg,gaohan
200 (178)_2.jpg,gaohan
200 (176)_2.jpg,gaohan
200 (39)_0.jpg,gaohan
200 (84)_3.jpg,gaohan
200 (56)_2.jpg,gaohan
200 (184)_0.jpg,gaohan
200 (45)_0.jpg,gaohan
200 (72)_1.jpg,gaohan
200 (167)_0.jpg,gaohan
200 (18)_1.jpg,gaohan
200 (53)_3.jpg,gaohan
200 (20)_1.jpg,gaohan
200 (85)_0.jpg,gaohan
200 (185)_0.jpg,gaohan
200 (102)_0.jpg,gaohan
200 (182)_2.jpg,gaohan
200 (123)_1.jpg,gaohan
200 (39)_2.jpg,gaohan
200 (68)_1.jpg,gaohan
200 (89)_0.jpg,gaohan
200 (69)_0.jpg,gaohan
200 (179)_0.jpg,gaohan
200 (169)_2.jpg,gaohan
200 (89)_4.jpg,gaohan
200 (159)_1.jpg,gaohan
200 (182)_0.jpg,gaohan
200 (55)_2.jpg,gaohan
200 (93)_1.jpg,unknown
200 (159)_0.jpg,gaohan
200 (176)_0.jpg,gaohan
200 (158)_1.jpg,gaohan
200 (50)_1.jpg,gaohan
200 (48)_0.jpg,gaohan
200 (93)_0.jpg,gaohan
200 (17)_1.jpg,gaohan
200 (40)_1.jpg,unknown
200 (172)_1.jpg,gaohan
200 (169)_1.jpg,gaohan
200 (135)_0.jpg,gaohan
200 (90)_1.jpg,gaohan
200 (91)_2.jpg,gaohan
200 (54)_1.jpg,gaohan
200 (171)_0.jpg,gaohan
200 (163)_1.jpg,gaohan
200 (78)_2.jpg,gaohan
200 (187)_3.jpg,gaohan
200 (135)_2.jpg,gaohan
200 (8)_0.jpg,gaohan
200 (12)_2.jpg,gaohan
200 (16)_1.jpg,gaohan
200 (83)_1.jpg,gaohan
200 (90)_2.jpg,gaohan
200 (179)_1.jpg,gaohan
200 (144)_0.jpg,gaohan
200 (96)_1.jpg,gaohan
200 (73)_2.jpg,gaohan
200 (194)_0.jpg,gaohan
200 (166)_2.jpg,gaohan
200 (50)_2.jpg,gaohan
