切割后的数据集大小,姿势识别后的数据集大小,姿势识别率,姿势识别时间,人脸匹配时间
79525483,86.18394231796265
100 (100).jpg,gaohan
100 (76).jpg,gaohan
100 (40).jpg,gaohan
100 (38).jpg,gaohan
100 (52).jpg,unknown
100 (42).jpg,gaohan
100 (44).jpg,gaohan
100 (31).jpg,gaohan
100 (35).jpg,gaohan
100 (24).jpg,gaohan
100 (27).jpg,gaohan
100 (43).jpg,gaohan
100 (65).jpg,gaohan
100 (71).jpg,gaohan
100 (78).jpg,gaohan
100 (8).jpg,gaohan
100 (95).jpg,gaohan
100 (37).jpg,gaohan
100 (62).jpg,gaohan
100 (7).jpg,gaohan
100 (36).jpg,gaohan
100 (79).jpg,gaohan
100 (91).jpg,gaohan
100 (82).jpg,gaohan
100 (50).jpg,gaohan
100 (93).jpg,gaohan
100 (9).jpg,gaohan
100 (69).jpg,gaohan
100 (16).jpg,unknown
100 (19).jpg,gaohan
100 (80).jpg,gaohan
100 (99).jpg,gaohan
100 (77).jpg,gaohan
100 (51).jpg,unknown
100 (48).jpg,gaohan
100 (47).jpg,gaohan
100 (34).jpg,gaohan
100 (39).jpg,gaohan
100 (13).jpg,gaohan
100 (28).jpg,gaohan
100 (32).jpg,gaohan
100 (92).jpg,gaohan
100 (41).jpg,gaohan
100 (54).jpg,gaohan
100 (26).jpg,gaohan
100 (68).jpg,gaohan
100 (53).jpg,gaohan
100 (63).jpg,gaohan
100 (75).jpg,gaohan
100 (29).jpg,gaohan
100 (70).jpg,gaohan
100 (67).jpg,gaohan
100 (73).jpg,gaohan
100 (46).jpg,gaohan
100 (22).jpg,gaohan
100 (57).jpg,gaohan
100 (49).jpg,gaohan
100 (55).jpg,gaohan
100 (33).jpg,unknown
100 (64).jpg,gaohan
100 (74).jpg,gaohan
100 (61).jpg,gaohan
100 (21).jpg,unknown
100 (45).jpg,gaohan
100 (10).jpg,gaohan
100 (1).jpg,gaohan
100 (72).jpg,gaohan
100 (94).jpg,gaohan
100 (23).jpg,gaohan
