切割后的数据集大小,姿势识别后的数据集大小,姿势识别率,姿势识别时间,人脸匹配时间
37906259,100.83819818496704
500 (377)_0.jpg,gaohan
500 (301)_0.jpg,gaohan
500 (428)_1.jpg,gaohan
500 (248)_0.jpg,unknown
500 (423)_0.jpg,gaohan
500 (463)_2.jpg,gaohan
500 (240)_4.jpg,gaohan
500 (152)_1.jpg,gaohan
500 (260)_3.jpg,gaohan
500 (375)_1.jpg,gaohan
500 (425)_2.jpg,gaohan
500 (355)_1.jpg,gaohan
500 (277)_2.jpg,gaohan
500 (224)_2.jpg,gaohan
500 (386)_1.jpg,gaohan
500 (351)_1.jpg,gaohan
500 (487)_1.jpg,gaohan
500 (270)_1.jpg,unknown
500 (331)_1.jpg,gaohan
500 (157)_4.jpg,gaohan
500 (494)_0.jpg,gaohan
500 (391)_0.jpg,unknown
500 (365)_1.jpg,gaohan
500 (453)_1.jpg,gaohan
500 (227)_0.jpg,gaohan
500 (486)_1.jpg,gaohan
500 (318)_1.jpg,gaohan
500 (13)_2.jpg,gaohan
500 (163)_1.jpg,gaohan
500 (361)_2.jpg,gaohan
500 (389)_0.jpg,gaohan
500 (308)_2.jpg,gaohan
500 (261)_0.jpg,gaohan
500 (427)_0.jpg,gaohan
500 (116)_1.jpg,gaohan
500 (156)_4.jpg,gaohan
500 (456)_2.jpg,gaohan
500 (274)_3.jpg,unknown
500 (376)_1.jpg,gaohan
500 (437)_0.jpg,gaohan
500 (240)_2.jpg,gaohan
500 (450)_1.jpg,gaohan
500 (8)_2.jpg,gaohan
500 (376)_0.jpg,gaohan
500 (308)_3.jpg,gaohan
500 (381)_0.jpg,gaohan
500 (354)_0.jpg,gaohan
500 (107)_0.jpg,gaohan
500 (158)_2.jpg,gaohan
500 (340)_1.jpg,gaohan
500 (117)_0.jpg,gaohan
500 (266)_2.jpg,gaohan
500 (311)_1.jpg,gaohan
500 (482)_3.jpg,gaohan
500 (263)_2.jpg,unknown
500 (256)_3.jpg,gaohan
500 (241)_2.jpg,gaohan
500 (344)_1.jpg,gaohan
500 (146)_0.jpg,gaohan
500 (157)_1.jpg,gaohan
500 (488)_2.jpg,gaohan
500 (350)_1.jpg,gaohan
500 (325)_2.jpg,gaohan
500 (322)_3.jpg,gaohan
500 (315)_0.jpg,gaohan
500 (349)_1.jpg,gaohan
500 (285)_3.jpg,gaohan
500 (452)_1.jpg,gaohan
500 (106)_2.jpg,gaohan
500 (326)_0.jpg,gaohan
500 (334)_2.jpg,gaohan
500 (151)_3.jpg,gaohan
500 (321)_2.jpg,gaohan
500 (215)_5.jpg,gaohan
500 (385)_1.jpg,gaohan
500 (259)_2.jpg,gaohan
500 (145)_0.jpg,gaohan
500 (258)_3.jpg,gaohan
500 (457)_1.jpg,gaohan
500 (460)_0.jpg,gaohan
500 (257)_1.jpg,gaohan
500 (489)_0.jpg,gaohan
500 (113)_0.jpg,gaohan
500 (326)_1.jpg,gaohan
500 (320)_1.jpg,gaohan
500 (446)_1.jpg,gaohan
500 (225)_0.jpg,gaohan
500 (486)_0.jpg,gaohan
500 (243)_1.jpg,unknown
500 (350)_0.jpg,gaohan
500 (236)_2.jpg,gaohan
500 (339)_1.jpg,gaohan
500 (294)_1.jpg,gaohan
500 (392)_0.jpg,gaohan
500 (468)_2.jpg,gaohan
500 (286)_1.jpg,gaohan
500 (228)_2.jpg,gaohan
500 (468)_0.jpg,gaohan
500 (304)_0.jpg,gaohan
500 (421)_2.jpg,gaohan
500 (500)_2.jpg,gaohan
500 (317)_1.jpg,gaohan
500 (223)_3.jpg,gaohan
500 (329)_0.jpg,gaohan
500 (495)_2.jpg,gaohan
500 (391)_1.jpg,gaohan
500 (374)_0.jpg,gaohan
500 (4)_2.jpg,gaohan
500 (293)_2.jpg,gaohan
500 (159)_0.jpg,gaohan
500 (308)_0.jpg,gaohan
500 (249)_2.jpg,gaohan
500 (259)_1.jpg,gaohan
500 (284)_2.jpg,gaohan
500 (108)_1.jpg,gaohan
500 (158)_3.jpg,gaohan
500 (308)_1.jpg,gaohan
500 (451)_1.jpg,gaohan
500 (472)_2.jpg,gaohan
